Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,0,0,0,0,0
3/13/2020,1,0,0,1,0,0,1
3/14/2020,2,0,0,3,0,0,3
3/15/2020,2,0,0,5,0,0,5
3/16/2020,1,0,0,6,0,0,6
3/17/2020,12,0,0,18,0,0,18
3/18/2020,15,0,0,33,0,0,33
3/19/2020,0,0,0,33,0,0,33
3/20/2020,18,1,1,51,1,1,49
3/21/2020,5,0,0,56,1,1,55
3/22/2020,2,0,0,58,1,1,57
3/23/2020,4,0,0,62,1,1,61
3/24/2020,11,0,0,73,1,1,72
3/25/2020,0,0,0,73,1,1,72
3/26/2020,0,0,0,73,1,1,72
3/27/2020,0,0,0,73,1,1,72
3/28/2020,29,1,17,102,2,18,83
3/29/2020,4,2,1,106,4,19,85
3/30/2020,0,0,2,106,4,21,85
3/31/2020,8,0,5,114,4,26,88
4/1/2020,11,2,2,125,6,28,95
4/2/2020,3,0,2,128,6,30,98
4/3/2020,2,1,0,130,7,30,99
4/4/2020,4,0,1,134,7,31,103
4/5/2020,1,0,7,135,7,38,97
4/6/2020,4,0,0,139,7,38,101
4/7/2020,0,0,0,139,7,38,101
4/8/2020,2,1,12,141,8,50,90
4/9/2020,2,0,25,143,8,75,68
4/10/2020,0,0,0,143,8,75,68
4/11/2020,0,0,0,143,8,75,68
4/12/2020,0,0,0,143,8,75,68
4/13/2020,2,0,0,145,8,75,70
4/14/2020,0,0,0,145,8,75,70
4/15/2020,0,0,0,145,8,75,70
4/16/2020,0,0,0,145,8,75,70
4/17/2020,0,0,0,145,8,75,70
4/18/2020,3,0,6,148,8,81,67
4/19/2020,0,0,0,148,8,81,67
4/20/2020,0,0,0,148,8,81,67
4/21/2020,0,4,0,148,12,81,63
4/22/2020,0,0,7,148,12,88,60
4/23/2020,0,0,0,148,12,88,60
4/24/2020,1,0,6,149,12,94,55
4/25/2020,0,0,0,149,12,94,55
4/26/2020,0,0,0,149,12,94,55
4/27/2020,0,0,0,149,12,94,55
4/28/2020,0,0,0,149,12,94,55
4/29/2020,0,0,0,149,12,94,55
4/30/2020,2,0,13,151,12,107,44
5/1/2020,1,0,0,152,12,107,45
5/2/2020,0,0,0,152,12,107,45
5/3/2020,0,0,0,152,12,107,45
5/4/2020,0,0,3,152,12,110,42
5/5/2020,0,0,0,152,12,110,42
5/6/2020,0,1,6,152,13,116,35
5/7/2020,1,0,1,153,13,117,36
5/8/2020,1,0,0,154,13,117,37
5/9/2020,0,0,0,154,13,117,37
5/10/2020,0,0,0,154,13,117,37
5/11/2020,0,0,0,154,13,117,37
5/12/2020,1,0,5,155,13,122,33
5/13/2020,0,0,0,155,13,122,33
5/14/2020,0,0,0,155,13,122,33
5/15/2020,0,0,0,155,13,122,33
5/16/2020,0,0,0,155,13,122,33
5/17/2020,0,0,0,155,13,122,33
5/18/2020,0,0,0,155,13,122,33
5/19/2020,0,0,0,155,13,122,33
5/20/2020,0,0,0,155,13,122,33
5/21/2020,0,0,0,155,13,122,33
5/22/2020,1,0,6,156,13,128,28
5/23/2020,0,0,0,156,13,128,28
5/24/2020,5,1,0,161,14,128,32
5/25/2020,0,0,0,161,14,128,33
5/26/2020,0,0,1,161,14,129,32
5/27/2020,0,0,0,161,14,129,32
5/28/2020,0,0,0,161,14,129,32
5/29/2020,1,0,23,162,14,152,10
5/30/2020,0,0,0,162,14,152,10
5/31/2020,0,0,0,162,14,152,10
6/1/2020,0,0,0,162,14,152,10
6/2/2020,0,0,0,162,14,152,10
6/3/2020,0,0,0,162,14,152,10
6/4/2020,0,0,0,162,14,152,10
6/5/2020,2,0,6,164,14,158,6
6/6/2020,0,0,0,164,14,158,6
6/7/2020,0,0,0,164,14,158,6
6/8/2020,0,0,0,164,14,158,6
6/9/2020,0,0,0,164,14,158,6
6/10/2020,0,0,0,164,14,158,6
6/11/2020,0,0,6,164,14,164,0
6/12/2020,7,0,0,171,14,164,7
6/13/2020,0,0,0,171,14,164,7
6/14/2020,0,0,0,171,14,164,7
6/15/2020,0,0,0,171,14,164,7
6/16/2020,0,0,0,171,14,164,7
